year,occ_desc,mthly_gross_wage_75_pctile,mthly_gross_wage_50_pctile,mthly_gross_wage_25_pctile,mthly_basic_wage_75_pctile,mthly_basic_wage_50_pctile,mthly_basic_wage_25_pctile
2024,customer service officer/clerk,4264,3190,2349,4128,3036,2209
2024,cyber risk specialist,13583,10071,7579,13562,10005,7532
2024,cybersecurity architect,11236,7826,5738,11236,7783,5618
2024,dairy and confectionery products machine operator,4514,2553,1748,4495,2475,1690
2024,data centre engineer,6361,4863,3870,6151,4240,3650
2024,data entry clerk,2925,2000,1500,2800,1900,1500
2024,data processing control clerk,4929,3480,2598,4200,3059,2377
2024,data scientist,12132,9047,6890,12055,8992,6867
2024,database administrator,10264,6717,3440,10264,6630,3339
2024,database architect,14942,11153,7410,14942,11153,7300
2024,deckhand (including lighterman),2206,1740,1630,2206,1740,1630
2024,delivery man using motorised personal mobility aids/devices,2000,1985,1700,2000,1970,1666
2024,dental aide/assistant,3272,2700,2300,3258,2700,2298
2024,dental technician,3649,3032,2642,3649,3032,2642
2024,dermatologist,9982,9035,6776,8841,8005,6246
2024,diagnostic radiologist,9282,7016,6486,8278,6486,5956
2024,dietitian,6232,4708,4044,6220,4708,4038
2024,"digital marketing professional (e.g. online, social media, e-commerce marketing professional)",8235,5300,3679,8200,5300,3671
2024,"director (stage, film, television, game, commercial, video and radio)",15657,11998,9479,15376,11824,9000
2024,dishwasher,2091,1684,1430,1915,1526,1316
2024,doorman,2890,2534,2380,2856,2500,2369
2024,driving instructor/tester,3818,3342,2970,3674,3300,2890
2024,early intervention teacher for infants and children,4951,4019,3300,4951,4019,3300
2024,economist,20000,6080,4848,20000,6080,4848
2024,editor (news and periodicals),15038,10800,7444,14980,10797,7425
2024,"editor (radio, television and video)",9859,6909,5246,9660,6881,5232
2024,educarer,3968,3391,3090,3570,2965,2686
2024,electrical engineer,8155,6000,4687,8000,5891,4607
2024,electrical engineering technician,5461,4235,3081,5331,4039,2838
2024,electrical fitter,3429,2200,1750,3101,2097,1725
2024,electrical household appliance repairer,3323,2797,1900,3181,2594,1900
2024,"electrical lift, escalator and related equipment fitter",5152,4108,3072,3467,2850,2526
2024,electrical/electronics draughtsman,4400,3518,2400,4285,3250,1800
2024,electrician,4300,3000,2145,3980,3000,2006
2024,electronic equipment/component assembler,2520,2017,1847,1980,1770,1630
2024,electronics engineer,9135,7861,6092,8832,7472,5601
2024,electronics engineering technician,5374,4071,3287,5218,3881,3088
2024,embedded systems engineer (including port systems engineer),10443,8085,6110,10357,8026,6019
2024,emergency physician,7185,6575,6131,6655,6045,5601
2024,employment agent/labour contractor,7335,4522,3084,7296,4367,2300
2024,energy engineer,20000,12425,7883,19542,12400,7883
2024,enrolled/assistant nurse (excluding registered nurse),6705,4904,3344,6670,4835,3326
2024,enterprise/solution architect,16737,12137,7950,16276,11645,7750
2024,enumerator/market research interviewer,3249,2701,1788,3023,2524,1674
2024,environmental engineer,7127,5710,4963,7123,5667,4900
2024,environmental inspector (environmental public health),10408,7373,4794,10408,7373,4690
2024,environmental officer (environmental protection),11550,7210,5500,11250,7150,5208
2024,environmental officer (public health),11000,8752,6528,11000,7786,6528
2024,event manager,7920,5960,4820,7897,5900,4745
2024,excavating/trench digging machine operator,4998,3098,2000,4998,2440,1790
2024,executive search consultant,8000,5709,4750,7612,5709,4500
2024,exhibition/conference/event planner (including wedding planner/coordinator),4861,3740,3000,4750,3638,2922
2024,fashion designer,4868,3500,2552,4639,3220,2475
2024,fast food preparer,2712,1854,1600,2159,1452,1262
2024,"financial analyst (e.g. equities analyst, credit analyst, investment research analyst)",10784,7500,5460,10583,7408,5416
2024,financial markets back office administrator,6700,5366,4000,6666,5356,3937
2024,financial product structurer,17053,12321,8120,17053,12321,8120
2024,financial risk manager,18658,12924,9275,18333,12801,9160
2024,financial services manager,16569,8750,5380,16445,8726,5357
2024,financial/investment adviser (e.g. relationship manager),13165,8000,5225,13063,7959,5210
2024,fire and safety inspector,7464,3810,2504,7464,3461,2470
2024,flight operations officer,5200,3778,2848,5025,3709,2767
2024,floor/wall tiler,2878,1600,1400,2828,1600,1400
2024,flying instructor (except air force),30000,20000,8050,30000,20000,8050
2024,food and beverage establishments general cleaner,1819,1600,1401,1788,1600,1400
2024,food and beverage operations manager,8364,5286,3839,7608,4770,3605
2024,food and drink technologist,6520,4261,3187,6360,4009,3119
2024,food service counter attendant,2495,1939,1400,2307,1790,1260
2024,food/drink stall assistant,2056,1638,1400,1980,1544,1344
2024,foreign exchange broker,27266,19750,15010,27266,19750,15010
2024,foreign exchange dealer,20000,13583,8863,20000,13500,8725
2024,fork lift truck operator,3163,2500,1807,2721,2128,1557
2024,fumigator and other pest and weed controller,2507,2300,2050,2500,2300,2040
2024,fund/portfolio manager (including asset allocator),19500,12060,7700,19178,11839,7650
2024,gardener and horticultural worker,1900,1800,1750,1881,1782,1733
2024,general dental practitioner,5540,5163,5001,5540,5163,4973
2024,general practitioner/physician,10021,6335,5749,9743,5817,5237
2024,general surgeon,6290,5580,4530,5760,5050,4500
2024,"general waste collection, recycling and material recovery worker",2320,1750,1550,1804,1435,1232
2024,graphic designer,4496,3765,3010,4441,3740,3000
2024,hair stylist/hairdresser,4773,3756,2915,4588,3483,2400
2024,hand launderer/presser (non-household),2022,1600,1400,2022,1600,1400
2024,hand packer,1906,1600,1538,1800,1600,1456
2024,harbour pilot,10052,8833,7093,9028,7886,6274
2024,health services manager,13690,9839,6262,13690,9830,6170
2024,healthcare assistant (e.g. therapy aide/assistant),2870,2432,2084,2811,2398,2060
2024,hospital/clinic attendant,2817,2459,2138,2607,2144,1956
2024,hotel cleaner,2274,2019,1800,2207,2019,1800
2024,hotel executive (including hotel reservation and front desk executive),3600,3164,2674,3510,3020,2550
2024,hotel operations/lodging services manager,7020,4970,4019,6800,4880,3953
2024,hotel receptionist (including hotel reservation and front desk clerk),3379,2687,2076,3108,2475,1908
2024,house steward,6049,5287,4538,6049,5287,4533
2024,housekeeper (hotels and other establishments),4606,3233,2312,4540,3140,2272
2024,housekeeping matron,5427,3491,3150,5280,3248,3000
2024,housekeeping/linen room attendant,2307,1950,1600,2195,1899,1555
2024,human resource consultant (excluding executive search consultant),20000,8800,6196,20000,8650,6150
2024,hydrographic surveyor,7882,5450,3975,7882,5450,3975
2024,ict auditor,15582,12311,10512,15582,12311,10512
